ID,XAxis,YAxis,ZAxis,GlobalTime
0,7565465.98372437,299547.776311296,0,100
0,7461393.161551,596331.692591903,0,200
0,7286333.54010675,887419.654799208,0,300
0,7037748.29437347,1169514.87497407,0,400
0,6711793.84699373,1438693.41382287,0,500
0,6302961.1874878,1690013.23705841,0,600
0,5803477.92949625,1916875.8101294,0,700
0,5202292.42206617,2109886.8630056,0,800
0,4483255.37426725,2254609.73669472,0,900
0,3621603.57195255,2326528.92021508,0,1000
0,2576434.20470859,2277479.36329847,0,1100
0,1273256.62413051,1986175.11162716,0,1200
0,-371192.475874568,925397.940919283,0,1300
0,188358.454742549,-1448379.53668835,0,1400
0,1731963.54820358,-2122178.70519886,0,1500
0,2939846.89015562,-2311534.09272018,0,1600
0,3919350.38009428,-2313348.40635682,0,1700
0,4731168.63951812,-2214077.7084946,0,1800
0,5409702.63235694,-2051613.03357578,0,1900
0,5976358.24834761,-1846324.94014686,0,2000
0,6445351.95296483,-1610649.57574288,0,2100
0,6826520.32516395,-1352898.6425065,0,2200
0,7126814.08308905,-1079039.0931337,0,2300
0,7351149.37614638,-793627.39874005,0,2400
0,7502914.55852525,-500348.691934581,0,2500
0,7584275.97015668,-202356.585209688,0,2600
0,7596355.59042993,97491.0590741852,0,2700
0,7539317.72734697,396448.297824169,0,2800
0,7412381.41247386,691715.795552743,0,2900
0,7213760.80421138,980266.756432502,0,3000
0,6940522.34202117,1258633.95514908,0,3100
0,6588329.79506491,1522614.21631371,0,3200
0,6151019.4494239,1766814.31540207,0,3300
0,5619892.70061338,1983888.00221095,0,3400
0,4982497.0296799,2163132.26466122,0,3500
0,4220394.7457427,2287613.10295473,0,3600
0,3304714.18926816,2327379.9596813,0,3700
0,2186287.32211111,2219655.27828512,0,3800
0,773856.887671518,1785051.00374669,0,3900
0,-712898.373353608,39841.1938803011,0,4000
0,733729.378898816,-1765974.84529349,0,4100
0,2155139.11195805,-2214043.84492368,0,4200
0,3279550.58212734,-2326867.15262823,0,4300
0,4199573.21897327,-2289802.28225895,0,4400
0,4965097.72071481,-2166992.55910197,0,4500
0,5605348.17210976,-1988873.19924584,0,4600
0,6138955.04364079,-1772594.73584803,0,4700
0,6578487.15719042,-1528971.60075811,0,4800
0,6932719.079169,-1265412.93580579,0,4900
0,7207867.62978539,-987349.644450233,0,5000
0,7408308.57647711,-699008.17739628,0,5100
0,7537006.81045922,-403870.058627354,0,5200
0,7595774.67507975,-104970.243296866,0,5300
0,7585417.16797288,194888.469954756,0,5400
0,7505793.41700186,492960.798147757,0,5500
0,7355806.05477298,786393.769659029,0,5600
0,7133316.51830648,1072043.71575776,0,5700
0,6834970.01000566,1346242.31696944,0,5800
0,6455893.60206771,1604460.28291735,0,5900
0,5989195.81621924,1840774.95399989,0,6000
0,5425126.63084998,2046949.76617284,0,6100
0,4749605.35369995,2210685.19298328,0,6200
0,3941457.87869624,2311886.83762641,0,6300
0,2966722.73670497,2313321.2439633,0,6400
0,1765633.49660417,2130599.17167666,0,6500
0,231509.832725793,1478302.5554432,0,6600
0,-411154.872581663,-871883.141768788,0,6700
0,1236435.60954,-1973401.54496772,0,6800
0,2547482.97660111,-2273960.73779308,0,6900
0,3597985.0792123,-2327059.50585149,0,7000
0,4463625.26264726,-2257423.00512946,0,7100
0,5185871.72134665,-2114159.04101032,0,7200
0,5789773.85427309,-1922148.85468219,0,7300
0,6291642.95269098,-1696001.38942534,0,7400
0,6702631.12517752,-1445202.66468831,0,7500
0,7030577.89911516,-1176404.18691811,0,7600
0,7281040.20818826,-894580.148143388,0,7700
0,7457898.03392026,-603674.411113737,0,7800
0,7563719.65570933,-306995.839101176,0,7900
0,7599978.53834582,-7483.0496658661,0,8000
0,7567169.10425299,292098.002470843,0,8100
0,7464844.19359331,588985.448710499,0,8200
0,7291581.2149693,880253.598184626,0,8300
0,7044870.66708787,1162617.57804615,0,8400
0,6720905.1569576,1432173.13500997,0,8500
0,6314223.23422579,1684010.00736315,0,8600
0,5817119.04001859,1911581.95150562,0,8700
0,5218640.29149881,2105585.12252739,0,8800
0,4502797.61530686,2251752.24326935,0,8900
0,3645109.58912718,2325926.02684658,0,9000
0,2605228.47217437,2280859.15057114,0,9100
0,1309837.42347984,1998573.70929014,0,9200
0,-330299.078692507,976598.951795242,0,9300
0,145057.34477176,-1417303.55425974,0,9400
0,1698084.52592709,-2113502.17652429,0,9500
0,2912831.57149455,-2309637.34553631,0,9600
0,3897139.70462849,-2314749.12027274,0,9700
0,4712649.55036749,-2217431.70468142,0,9800
0,5394209.31651718,-2056250.03374356,0,9900
0,5963460.08398195,-1851856.22043657,0,10000
0,6434755.76401327,-1616825.24940437,0,10100
0,6818020.39162088,-1359545.01606014,0,10200
0,7120264.44060696,-1086027.32690223,0,10300
0,7346447.59057623,-800856.160064989,0,10400
0,7499991.93917614,-507733.668185762,0,10500
0,7583091.71213818,-209823.551694012,0,10600
0,7596893.55409063,90011.3235734011,0,10700
0,7541585.21662379,389024.252912756,0,10800
0,7416409.72411221,684419.257198439,0,10900
0,7219607.64939993,973177.569602576,0,11000
0,6948276.60700398,1251846.08335985,0,11100
0,6598119.64406062,1516244.62312814,0,11200
0,6163025.72405236,1761017.18422363,0,11300
0,5634371.46986417,1978879.57228334,0,11400
0,4999819.33297238,2159238.51106732,0,11500
0,4241121.77908839,2285372.66465453,0,11600
0,3329753.83686816,2327805.40507341,0,11700
0,2217256.43640731,2225084.76769714,0,11800
0,813724.105918887,1803526.20003258,0,11900
0,-708052.514480026,119253.91195986,0,12000
0,693341.617808215,-1746272.40220065,0,12100
0,2123809.61555381,-2208246.26673458,0,12200
0,3254261.81386963,-2326265.60114289,0,12300
0,4178656.46370539,-2291939.57740072,0,12400
0,4947620.91261239,-2170819.05632448,0,12500
0,5590737.53295306,-1993834.9579021,0,12600
0,6126832.24791403,-1778358.30946149,0,12700
0,6568591.53725794,-1535316.67980266,0,12800
0,6924866.67509533,-1272182.95230835,0,12900
0,7201928.02295382,-994426.175177416,0,13000
0,7404191.14715843,-706296.353130982,0,13100
0,7534652.4276149,-411289.490761106,0,13200
0,7595150.79845376,-112448.833808235,0,13300
0,7586515.32431147,187419.248769825,0,13400
0,7508628.56253019,485570.032678695,0,13500
0,7360417.70594935,779155.324828659,0,13600
0,7139771.86158609,1065041.25724767,0,13700
0,6843369.60429257,1339576.11893506,0,13800
